Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Bosnia and Herzegovina,BIH,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,0.433101713657379,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,0.449283599853516,..,..,..,..,..,..,..,..,..
Brazil,BRA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,0.241639241576195,0.243728339672089,0.239731892943382,0.234902396798134,0.228717714548111,0.22824689745903,0.225314542651176,0.22610142827034,0.227382451295853,..,0.217732027173042,0.213234692811966,..,0.21055044233799,..,..,0.220594346523285,..
Bulgaria,BGR,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,0.320688724517822,0.189145252108574,0.196876704692841,0.209330871701241,0.212815701961517,0.224423512816429,0.218394964933395,0.217137932777405,0.212234005331993,0.2134999781847,0.206040784716606,0.195427045226097
Burkina Faso,BFA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,0.797974824905396,..,..,..,..,..,0.677261233329773,..,..,..,..,0.556677639484406,..,..,..,..
Cabo Verde,CPV,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,0.3675916492939,..,..,..,..,..,..,0.358626186847687,..,..,..,..
Canada,CAN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,0.605215311050415,..,..,..,..,..,..,..,0.524939119815826,..,..,..,..,..,..,..
Chile,CHL,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.187970101833344,..,..,0.127437829971313,..,..,0.117515303194523,..,..,0.0909515619277954,..,0.118197552859783,..,0.13427247107029,..,..,..,0.184328377246857,..
China,CHN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,0.182475373148918,0.175861865282059,0.17059887945652,0.157637938857079,0.146464809775352,0.145016625523567,0.1348507553339,..,0.123144432902336,..,..,0.110254846513271,..
Comoros,COM,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,0.819509148597717,..,..,..,..,..,..,..,..,0.708243310451508,..,..,..,..,..
"Congo, Dem. Rep.",COD,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.504277408123016,..,..,..,..,..,..,0.482625395059586,..,..,..,..,..,..
"Congo, Rep.",COG,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,CRI,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.279554307460785,0.286013573408127,0.28592586517334,0.279388964176178,0.276657074689865,0.289928108453751,0.274918228387833,0.258337050676346,0.257181584835052,0.28482785820961,0.23968480527401,..,0.223827049136162,..,..,0.273992240428925,..,0.261234700679779,..
Croatia,HRV,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,0.210360959172249,0.225064247846603,0.235695958137512,0.232627391815186,0.240417122840881,0.235803753137589,0.235884606838226,0.241403698921204,0.227911427617073
Cyprus,CYP,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.241613194346428,0.239507049322128,0.263292461633682,0.22822467982769,0.237951651215553,0.229777932167053,0.236259981989861,0.229170098900795,0.242594599723816,0.236681178212166,0.229398667812347,0.243750408291817,0.242185071110725,0.237451389431953
Czech Republic,CZE,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.343678265810013,0.341512948274612,0.331102013587952,0.215590536594391,0.215886071324348,0.221162557601929,0.220646485686302,0.221036568284035,0.212664529681206,0.220591023564339,0.227733537554741,0.228701084852219,0.227503195405006,0.234422400593758
Denmark,DNK,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.379668474197388,0.368167102336884,0.375291675329208
Djibouti,DJI,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,0.273649305105209,0.227543532848358,0.216774865984917,0.26902636885643,0.279839783906937,0.311096221208572,0.272900134325027,0.280667781829834,0.301854729652405,0.301714181900024,0.299642235040665,0.281752645969391,..,..,..,..,..
Ecuador,ECU,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.227118626236916,..,..,0.324184089899063,0.330407381057739,0.299978643655777,0.309407711029053,0.188012078404427,0.195395022630692,0.200256377458572,0.224368959665298,0.225114911794662,0.217793270945549,..,0.210343182086945,..,..,0.223469436168671,..
"Egypt, Arab Rep.",EGY,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.643739819526672,..,..,..,..,..,..,..,..,..,..,..,..,..
El Salvador,SLV,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.297570198774338,0.280987858772278,0.270356476306915,0.263600081205368,0.260802537202835,0.285115242004395,0.267031937837601,0.284822314977646,0.253998637199402,0.270492315292358,..,..,0.274666428565979,..,0.262969493865967,..,..,..,..
Estonia,EST,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,0.327364563941956,0.296115010976791,0.302012920379639,0.278950780630112,0.219007179141045,0.240684285759926,0.25906053185463,0.253549069166183,0.254004061222076,0.24828839302063,0.245832115411758,0.250449419021606,0.245036736130714,0.237695693969727,0.239141345024109
Eswatini,SWZ,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ethiopia,ETH,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Finland,FIN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,0.302347302436829,..,..,..,0.314136624336243,0.325018852949142,0.330648332834244,0.333956629037857,0.334519535303116,0.3177450299263,0.311798542737961
France,FRA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,0.389251738786697,0.391842037439346,0.389232397079468,0.368677794933319,0.331391632556915,0.317789703607559,0.348564594984055,0.344713360071182,0.324633151292801,0.362512737512589,0.376071125268936,0.382511556148529,0.39269545674324,0.352626860141754,0.349256724119186
Gabon,GAB,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Gambia, The",GMB,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Georgia,GEO,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ghana,GHA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.501617074012756,..,..,..,..,..,..,0.453607529401779,..,..,..,..,..,..
Greece,GRC,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,0.33184677362442,0.308093637228012,0.32126584649086,0.337336897850037,0.32758155465126,0.347080409526825,0.350414246320724,0.331893712282181,0.333823353052139,0.331598728895187,0.327802926301956,0.321319222450256
Guatemala,GTM,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.211753994226456,..,0.183432921767235,0.223857954144478,0.19792041182518,..,0.229310214519501,..,..,..,..,0.223672807216644,..,..,..,..,..,0.273307472467422,..
Guinea,GIN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,GNB,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Haiti,HTI,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,0.46685591340065,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,HND,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,0.272558718919754,0.264457941055298,0.272592157125473,0.284701973199844,0.274783313274384,0.284660756587982,0.264804720878601,0.223943829536438,0.232468172907829,0.258345454931259,0.224805280566216,..,..
Hungary,HUN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,0.338014423847198,0.3422931432724,0.243137747049332,0.260991036891937,0.276715934276581,0.273412793874741,0.283164918422699,0.279493808746338,0.292890936136246,0.290977567434311,0.298564225435257,0.288228213787079,0.293958336114883
Iceland,ISL,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,0.358271300792694,0.357334434986115,0.348412185907364,0.360837072134018,0.300516903400421,0.363174200057983,0.378308713436127,0.366517305374146,0.354223430156708,0.346899926662445,..,..,..,..,..
India,IND,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,0.572646737098694,..,..,..,..,..,..,..
Indonesia,IDN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.357312351465225
Ireland,IRL,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,0.325457066297531,0.315418362617493,0.335872024297714,0.358855843544006,0.325418174266815,0.321053713560104,0.328783631324768,0.331229120492935,0.31538051366806,0.327173918485641,0.324037998914719,0.30687341094017,0.311970084905624,0.315421432256699,..
Italy,ITA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,0.369243115186691,0.28541100025177,0.239902824163437,0.248453751206398,0.260800808668137,0.257016897201538,0.253235399723053,0.253811031579971,0.259838253259659,0.253188967704773,0.261782884597778,0.238298997282982
Jamaica,JAM,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Jordan,JOR,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kazakhstan,KAZ,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kenya,KEN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.443459749221802,..,..,..,..,..,..,..,..,..,..,..,..,..
Kosovo,XKX,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,0.656353235244751,..,..,..,0.554283738136292,0.557637929916382,0.536164581775665,..,..,..,..
Latvia,LVA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,0.258262783288956,0.227477923035622,0.264146149158478,0.26371443271637,0.273143708705902,0.262069046497345,0.261369109153748,0.255822479724884,0.251849085092545,0.263333141803741,0.261876821517944,0.254148095846176
Lebanon,LBN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..
Lesotho,LSO,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,0.423933058977127,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liberia,LBR,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.44077330827713,..,..,..,..
Lithuania,LTU,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.344319760799408,0.333418846130371,0.349598675966263,0.244056612253189,0.271341055631638,0.289619952440262,0.281077146530151,0.284895926713943,0.262100726366043,0.260344117879868,0.250551462173462,0.255622833967209,0.256010770797729,0.251109004020691
Luxembourg,LUX,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,0.343179315328598,0.330817461013794,0.330304592847824,0.320383995771408,0.285256415605545,0.26664200425148,0.27008643746376,0.279369056224823,0.289054602384567,0.312863409519196,0.322409361600876,0.333998590707779,0.330506145954132,0.324180603027344,0.332317054271698
Madagascar,MDG,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,0.290592223405838,..,..,..,..,..,..,..,..,..,..,0.330633789300919,..,..,..,..,..,..
Malawi,MWI,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,0.492183387279511,..,..,..,..,..
Maldives,MDV,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mali,MLI,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malta,MLT,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,0.369259089231491,0.282964438199997,0.289738714694977,0.294923722743988,0.371432363986969,0.317889124155045,0.304044932126999,0.321733742952347,0.331464141607285,0.32415446639061,0.340358704328537,0.333891451358795
Mauritania,MRT,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritius,MUS,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mexico,MEX,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.270736426115036,..,0.273648679256439,..,..,..,..,..,0.285287111997604,..,0.27963662147522,..,0.266666442155838,..,..,..,..,0.251660913228989,..
Moldova,MDA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,0.452927321195602,0.466941446065903,0.455883979797363,0.462068647146225,0.499642997980118,0.458843410015106,0.462145417928696,..,0.487784594297409,0.508393824100494,..,..,..
Mongolia,MNG,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,0.646135210990906,..,..,..,..,..,..,..,0.518372297286987,..,..,..,..
Montenegro,MNE,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,0.12839737534523,0.142329648137093,..,..,..,..,..,..,..
Morocco,MAR,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.498188734054565,0.472024470567703,0.460547715425491,0.451117217540741,0.440310567617416,..,..,..,..,..,..,..,..,..
Mozambique,MOZ,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,0.412355363368988,..,..,..,..,..,..
Namibia,NAM,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,0.511649012565613,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,0.155617848038673,..,..,..,..,..,..,..,..,..,..
Nicaragua,NIC,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,0.330787390470505,..,..,..,0.322732925415039,..,..,..,..,..,..,0.333805412054062,..,..,..,..,..,..
Niger,NER,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,0.710793793201447,..,..,..,..,..,..,0.603174984455109,..,..,..,..
Nigeria,NGA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,0.841678082942963,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.36852639913559,..
Pakistan,PAK,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,0.621728956699371,..,0.538584768772125,..,0.585659265518188,0.604058027267456,0.563276886940002,..,..,..,..
Palau,PLW,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.524752497673035,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Panama,PAN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,0.0504039861261845,0.0515555664896965,0.0598919317126274,0.0640577003359795,0.0532947741448879,0.0543563477694988,0.0482487939298153,0.056432843208313,0.0444183759391308,0.0511553920805454,0.0427996590733528,0.0425050668418407,..,..,0.0452341511845589,..,..,..
Papua New Guinea,PNG,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Paraguay,PRY,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,0.428227156400681,0.577268064022064,0.506766855716705,0.490402340888977,0.513588607311249,0.56951904296875,0.385595589876175,0.389883488416672,0.3783940076828,..,0.343917489051819,0.352367848157883,..,..,0.346847236156464,..,0.357093334197998,..
Peru,PER,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.441318869590759,0.443896532058716,0.404581516981125,..,0.407077044248581,0.367246747016907,0.359398484230042,0.380449712276459,0.339616060256958,0.360180467367172,0.362491369247437,0.354956686496735,0.342195808887482,0.321964532136917,0.319505095481873,..,..,..,..
Philippines,PHL,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poland,POL,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.361540794372559,0.355688989162445,0.343527436256409,0.235509306192398,0.243318662047386,0.244708314538002,0.235751524567604,0.238245889544487,0.249448522925377,0.245741844177246,0.253676623106003,0.249643057584763,0.246270909905434,..
Portugal,PRT,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,0.326754868030548,0.235577180981636,0.239925473928452,0.253982692956924,0.268943041563034,0.280175298452377,0.280754804611206,0.280285894870758,0.267729669809341,0.275142997503281,0.279767036437988,0.276471793651581
Puerto Rico,PRI,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,0.247773602604866,0.163887098431587,0.165956392884254,0.182328671216965,0.17687700688839,0.186160266399384,0.181552723050117,0.179775014519691,0.184238389134407,0.173566296696663,0.180986225605011,0.177159309387207
Russian Federation,RUS,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.735590040683746,0.696668088436127,0.603357315063477,0.589296877384186,0.568128943443298,0.537095785140991,0.539501249790192,0.517097353935242,0.497452974319458,0.490612417459488,..,..,..,..,..,..,..,..,..
Rwanda,RWA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,0.51229590177536,..,..,..,..,..
Sao Tome and Principe,STP,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.759831726551056,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Serbia,SRB,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,0.26896870136261,0.27194955945015,0.273277282714844,0.254035264253616,0.250752329826355,0.224969923496246
Seychelles,SYC,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sierra Leone,SLE,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,0.745739638805389,..,..,..,..,..,..,..,0.82717752456665,..,..,0.561735093593597,..,..,..,..
Slovak Republic,SVK,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.397327184677124,0.402540445327759,0.392063677310944,0.273898750543594,0.285899788141251,0.28985071182251,0.284012526273727,0.289192914962769,0.290343344211578,0.287358433008194,0.272828459739685,0.258442610502243,0.252214282751083,..
Slovenia,SVN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.356318831443787,0.334697961807251,0.342246770858765,0.226325646042824,0.231648772954941,0.241016015410423,0.244798168540001,0.246938779950142,0.249788701534271,0.252725690603256,0.256475448608398,0.260047882795334,0.254108339548111,0.251073807477951
Solomon Islands,SLB,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.328505903482437,0.317713856697083,..,0.279227644205093,0.248680084943771,0.24820040166378,0.235904082655907,0.237911477684975,..,..,..,..,..,..,0.226889029145241,..,..,0.254304319620132,..
Spain,ESP,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,0.287509858608246,0.271919637918472,0.237477004528046,0.252478301525116,0.271384179592133,0.267536848783493,0.269248217344284,0.267440855503082,0.278530567884445,0.271523654460907,0.28022900223732,0.278026103973389,0.273186445236206
Sri Lanka,LKA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,0.353064745664597,..,..,0.504969716072083,0.509632050991058,0.523810207843781,..,..,..,..,..
Switzerland,CHE,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,0.289746820926666,0.241176635026932,0.253040105104446,0.26849228143692,0.263972252607346,0.271193623542786,0.277459979057312,0.268928498029709,0.277621805667877,0.279844373464584,0.28386464715004,0.294307172298431
Tajikistan,TJK,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,0.501252293586731,..,..,..,0.58246922492981,..,..,..,..,..
Tanzania,TZA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,0.388999253511429,0.498193711042404,..,0.304969996213913,..,..,..,..
Thailand,THA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Timor-Leste,TLS,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,0.84965443611145,..,..,..,..,..,..,..,..
Togo,TGO,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,0.562173426151276,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tunisia,TUN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.384930610656738,..,..,..,..,0.394452780485153,..,..,..,..,..,..,..,..
Turkey,TUR,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,0.406217217445374,0.359150558710098,..,..,..,..,0.28100198507309,0.275557190179825,..,..,..,..,0.225807696580887,..,..,..
Uganda,UGA,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,0.447079032659531,..,..,..,0.394837290048599,..,..
